,type,year,trim,price,mileage,make,model
5400,certified,2016,Premier ,21717.0,6691,Chevrolet,Malibu 
5401,certified,2017,LT ,23998.0,9989,Chevrolet,Volt 
5402,certified,2017,LT ,38848.0,46927,Chevrolet,Tahoe 
5403,certified,2016,LT w/1LT ,20998.0,44661,Chevrolet,Camaro 
5404,certified,2014,LTZ ,12998.0,67665,Chevrolet,Cruze 
5405,used,2014,Rubicon ,28997.0,22222,Jeep,Wrangler 
5406,used,2017,EcoBoost ,22996.0,29967,Ford,Mustang 
5407,used,2015,Unlimited Sport ,31999.0,24327,Jeep,Wrangler 
5408,used,2014,Sport ,10888.0,86000,Jeep,Compass 
5409,used,2011,FX2 ,21995.0,52487,Ford,F-150 
5410,used,2016,LTZ ,15500.0,46289,Chevrolet,Malibu Limited 
5411,used,2015,LX ,15888.0,69266,Honda,Accord 
5412,used,2011,C ,14995.0,86123,Chrysler,300 
5413,used,2012,SXT ,15499.0,75775,Dodge,Challenger 
5414,used,2017,EX ,21995.0,12149,Honda,Civic 
5415,used,2014,428i SULEV ,21995.0,63950,BMW,4 Series 
5416,used,2015,428i SULEV ,25500.0,32009,BMW,4 Series Gran Coupe 
5417,used,2008,650i ,16995.0,93884,BMW,6 Series 
5418,used,2015,sDrive28i ,16995.0,63920,BMW,X1 
5419,used,2015,750Li ,36995.0,63932,BMW,7 Series 
5420,used,2015,Base ,59995.0,26000,BMW,M6 Gran Coupe 
5421,used,2010,C300 Luxury ,15999.0,28712,Mercedes-Benz,C-Class 
5422,used,2014,CLA250 ,21999.0,65223,Mercedes-Benz,CLA-Class 
5423,used,2005,Cambiocorsa ,17000.0,66316,Maserati,Spyder 
5424,used,2015,Unlimited Sport ,31999.0,24327,Jeep,Wrangler 
5425,used,2011,FX2 ,21995.0,52487,Ford,F-150 
5426,used,2016,LTZ ,15500.0,46289,Chevrolet,Malibu Limited 
5427,used,2015,LX ,15888.0,69266,Honda,Accord 
5428,used,2011,C ,14995.0,86123,Chrysler,300 
5429,used,2010,Base ,15995.0,99676,Lincoln,Navigator 
5430,used,2013,Base ,16995.0,51062,Scion,FR-S 
5431,used,2007,L ,14995.0,130612,Lexus,LS 460 
5432,used,2015,1.8 TFSI Premium ,14888.0,77435,Audi,A3 
5433,used,2015,LTZ ,32500.0,86858,Chevrolet,Suburban 
5434,used,2013,S550 ,32888.0,65698,Mercedes-Benz,S-Class 
5435,used,2012,C250 Sport ,17499.0,54531,Mercedes-Benz,C-Class 
5436,used,2017,LT ,20995.0,46215,Chevrolet,Equinox 
5437,used,2014,SE ,8785.0,86538,Ford,Focus 
5438,used,2015,King Ranch ,39990.0,45574,Ford,F-150 
5439,used,2014,Z71 LT ,23974.0,58460,Chevrolet,Silverado 1500 
5440,used,2017,Denali ,34678.0,25798,GMC,Acadia 
5441,used,2015,Premium ,39990.0,82428,Cadillac,Escalade 
5442,used,2009,Journey ,10752.0,97842,INFINITI,G37 
5443,used,2016,Hybrid ,23984.0,31773,Lincoln,MKZ 
5444,used,2015,Base ,30613.0,63751,Lincoln,Navigator 
5445,used,2015,Base ,22572.0,27740,Lincoln,MKC 
5446,used,2016,Hybrid ,23030.0,29409,Lincoln,MKZ 
5447,used,2012,Base ,18602.0,57436,Lincoln,MKX 
5448,used,2013,2.5 SV ,11443.0,48436,Nissan,Altima 
5449,used,2017,Titanium ,15511.0,36131,Ford,Focus 
5450,used,2016,Select ,20302.0,47274,Lincoln,MKC 
5451,used,2015,SEL ,15974.0,16417,Ford,C-Max Energi 
5452,used,2015,L ,35744.0,64885,Lincoln,Navigator 
5453,used,2016,Reserve ,36341.0,18504,Lincoln,MKX 
5454,used,2016,Hybrid ,22585.0,34358,Lincoln,MKZ 
5455,used,2015,Base ,22572.0,27740,Lincoln,MKC 
5456,used,2016,Hybrid ,23030.0,29409,Lincoln,MKZ 
5457,used,2012,Base ,18602.0,57436,Lincoln,MKX 
5458,used,2015,Base ,30664.0,16376,Lincoln,MKT 
5459,used,2015,Base ,18897.0,64228,Lincoln,MKC 
5460,used,2011,L ,21359.0,71983,Lincoln,Navigator 
5461,used,2015,Black Label Hybrid ,25695.0,22919,Lincoln,MKZ 
5462,used,2013,2.5 SV ,11443.0,48436,Nissan,Altima 
5463,used,2015,Base ,30613.0,63751,Lincoln,Navigator 
5464,used,2017,L Select ,46378.0,25045,Lincoln,Navigator 
5465,used,2017,XLT ,25000.0,19098,Ford,F-150 
5466,used,2016,Limited ,25200.0,45729,Jeep,Grand Cherokee 
5467,used,2014,XLE ,14900.0,70249,Toyota,RAV4 
5468,used,2016,1LT ,13800.0,20103,Chevrolet,Cruze Limited 
5469,used,2016,LX ,17700.0,18927,Kia,Sorento 
5470,used,2017,C 300 ,28000.0,33025,Mercedes-Benz,C-Class 
5471,used,2016,SE ,10500.0,32542,Hyundai,Accent 
5472,used,2012,ST ,19000.0,42096,Ram,1500 
5473,used,2017,XLT ,25000.0,19098,Ford,F-150 
5474,used,2017,LT ,40900.0,29675,Chevrolet,Tahoe 
5475,used,2016,Limited ,25200.0,45729,Jeep,Grand Cherokee 
5476,used,2015,1.6 S ,9500.0,34705,Nissan,Versa Note 
5477,used,2015,SV ,12000.0,37889,Nissan,Sentra 
5478,used,2017,1SS ,27900.0,20233,Chevrolet,Camaro 
5479,used,2014,XLE ,14900.0,70249,Toyota,RAV4 
5480,used,2016,1LT ,13800.0,20103,Chevrolet,Cruze Limited 
5481,used,2014,Base ,15900.0,27199,Chevrolet,Volt 
5482,used,2017,LT ,41995.0,29581,Chevrolet,Tahoe 
5483,used,2015,LS ,11800.0,39100,Chevrolet,Cruze 
5484,used,2012,American Value Package ,8900.0,113053,Dodge,Journey 
5485,used,2016,SLT ,39000.0,45501,GMC,Yukon 
5486,used,2016,C ,18600.0,39640,Chrysler,300 
5487,used,2016,SLT ,39000.0,45501,GMC,Yukon 
5488,used,2016,C ,18600.0,39640,Chrysler,300 
5489,used,2014,LT ,15000.0,75505,Chevrolet,Equinox 
5490,used,2015,2LT ,11300.0,69499,Chevrolet,Cruze 
5491,used,2016,LT ,28000.0,3996,Chevrolet,Colorado 
5492,used,2016,Unlimited Sport ,28000.0,41353,Jeep,Wrangler 
