,type,year,title,trim,price,mileage
221,used,1999,Ford Explorer ,Sport ,2385,156260
222,new,2018,Ford Fiesta ,S ,14990,8
223,used,2014,Kia Forte ,Koup EX ,11477,53867
224,new,2018,Ford Fiesta ,SE ,17615,6
225,used,2006,Ford Fusion ,SE ,5541,104522
226,used,2004,Hyundai Tiburon ,GT ,5500,93000
227,used,2008,Bentley Continental GT ,Base ,69999,9843
228,used,2014,Ford Focus ,SE ,8450,69959
229,used,2014,Lexus CT 200h ,Base ,17995,42915
230,used,2017,Toyota Camry ,SE ,16990,47967
231,certified,2015,Chevrolet Cruze ,LS ,11448,23566
232,used,2014,BMW i3 ,Base ,15492,20722
233,used,2015,MINI Cooper Paceman ,Base ,16999,0
234,used,2011,Mazda 3 ,i Touring ,7250,120154
235,used,2016,Chevrolet Trax ,LT ,14992,44899
236,used,2015,smart fortwo ,passion cabriolet ,12988,23877
237,used,2015,Nissan Versa ,1.6 S ,7992,43000
238,used,2008,BMW 5 Series ,535xi ,6995,121828
239,used,2006,Nissan Murano ,SL ,9499,86182
240,used,2017,Nissan Rogue Sport ,SL ,23888,16225
241,used,2005,Ford Mustang ,Deluxe ,7900,68072
242,used,2006,BMW 5 Series ,525i ,8906,80751
243,used,2001,Chevrolet Suburban ,1500 ,4995,189274
244,used,2014,Jeep Compass ,Sport ,7999,104725
245,used,2010,Audi A4 ,2.0T Premium ,7995,118048
246,used,2006,Nissan Murano ,SL ,5988,162339
247,used,2007,Toyota RAV4 ,Base ,8998,141410
248,used,2016,Nissan Sentra ,SR ,12995,56943
249,used,2016,Hyundai Accent ,SE ,9995,40359
250,used,2005,Cadillac STS ,V6 ,3495,108225
251,used,2006,BMW X3 ,3.0i ,6995,126011
252,used,2004,Toyota Corolla ,CE ,7800,49016
253,used,2004,Volkswagen New Beetle ,GLS ,6500,63461
254,used,2015,Nissan Versa Note ,1.6 SV ,13995,40647
255,used,2008,Scion xB ,Base ,5999,82634
256,used,2010,Nissan Rogue ,SL ,6999,117984
257,used,2012,Toyota Yaris ,Fleet ,6488,107430
258,used,2016,Nissan Versa Note ,1.6 SR ,8995,46872
259,used,2016,Acura RDX ,Base ,29990,0
260,used,2010,Kia Soul ,Sport ,10500,84780
261,used,2016,Nissan Sentra ,SV ,18000,10923
262,used,1998,Buick LeSabre ,Limited ,2880,139000
263,used,2013,Chevrolet Sonic ,LT ,6500,88983
264,used,2003,Chevrolet Silverado 1500 ,LS ,6500,205000
265,used,2014,Chevrolet Camaro ,LT ,14499,34720
266,used,2014,Kia Forte ,LX ,9000,62940
267,used,2017,Kia Forte ,LX ,11951,31330
268,used,2015,Nissan Leaf ,S ,12977,27194
269,used,2002,Honda Accord ,EX V-6 ,4268,182218
270,used,2015,GMC Canyon ,SLT ,26880,37554
271,used,2002,BMW 5 Series ,530i ,4995,113000
272,used,2004,BMW 3 Series ,330i ,4995,170000
273,used,2015,Chevrolet Sonic ,LT ,8996,90119
274,used,2015,Land Rover Range Rover Evoque ,Pure Plus ,32488,33681
275,used,2017,Mitsubishi Mirage G4 ,ES ,7988,76737
276,used,2017,GMC Sierra 1500 ,Base ,33710,0
277,used,2002,Pontiac Sunfire ,SE ,3995,92000
278,used,2004,Honda Odyssey ,EX ,6650,102674
279,used,2014,INFINITI QX60 ,Base ,30968,0
280,used,2005,Dodge Ram Pickup 1500 ,SLT ,8997,109415
281,used,2017,Nissan Sentra ,SV ,16995,13295
